実行日時,手法,MAE,MAE_std,RMSE,MAPE,R2,行数,fold数,seed,備考
2026-08-29 16:37,0  中央値,9280.034,58.148,13530.968,93.49,-0.0856,60000,5,42,予測しない場合の下限
2026-08-29 16:37,A1 線形回帰・構造化列,5025.761,30.879,7292.631,60.45,0.6846,60000,5,42,Ridge + one-hot。車種名を使わない従来手法の再現
2026-08-29 16:37,A2 LightGBM・構造化列,3233.538,22.061,5288.855,33.01,0.834,60000,5,42,A1と同じ列。モデルを木に替えた効果
2026-08-29 16:37,B1 + 車種名そのまま,2885.551,20.136,4865.071,30.28,0.8595,60000,5,42,"自由記述9,611水準をそのままカテゴリ扱い"
2026-08-29 16:38,B2 + 車種名を手書きルールで正規化,2782.948,6.947,4751.044,29.64,0.866,60000,5,42,"区切り記号以降を捨て先頭2語。5,156水準。シエンタの正規表現抽出に相当"
2026-08-29 16:38,C1 + 車種名の単語TF-IDF,2761.342,17.239,4705.604,29.41,0.8686,60000,5,42,"min_df=5, max_features=300。ルールを書かずに語で持つ"
2026-08-29 16:39,C2 + 車種名の文字TF-IDF,2639.658,15.753,4492.627,28.68,0.8802,60000,5,42,"char_wb 2-4gram, max_features=1000。表記ゆれを部分文字列で吸収"
2026-08-29 16:42,E  B2 + 説明文の単語TF-IDF,2616.398,20.234,4478.834,27.06,0.8809,60000,5,42,"自由記述本体（平均2,972文字）を足した場合の上積み"
2026-08-29 16:52,※重複あり A2 LightGBM・構造化列,3269.738,28.851,5125.602,28.03,0.8668,60000,5,42,重複排除をしない場合。正しい値は同名の行を参照
2026-08-29 16:53,※重複あり C2 + 車種名の文字TF-IDF,2528.866,32.18,4127.457,23.37,0.9136,60000,5,42,重複排除をしない場合。正しい値は同名の行を参照
2026-08-29 16:58,D1 構造化列+車種名の埋め込み,2620.327,7.735,4482.095,28.48,0.8808,60000,5,42,★本命。B2(手書きルール)・C2(文字TF-IDF)と同じ土俵での比較
2026-08-29 16:59,D2 D1のPCA64次元版,2657.112,12.656,4512.304,28.79,0.8792,60000,5,42,384次元を64次元に圧縮。次元数が効いているかの確認
2026-08-29 17:01,D3 全部乗せ(車種名カテゴリ+埋め込み),2667.411,6.926,4551.768,28.98,0.877,60000,5,42,車種名をカテゴリとしても埋め込みとしても入れた場合
2026-08-29 17:04,D4 埋め込み+文字TF-IDF,2595.514,7.349,4436.36,28.34,0.8832,60000,5,42,未知の車種名に強い文字TF-IDF と、既知に強い埋め込みの併用
2026-08-29 22:01,A2' 構造化列のみ,3233.538,22.061,5288.855,33.01,0.8340,60000,5,42,"比較の下限。既測 3,234"
2026-08-29 22:01,B2' + 手書きルール正規化,2782.948,6.947,4751.044,29.64,0.8660,60000,5,42,"機能A が置き換えたい相手。既測 2,783"
2026-08-29 22:05,F(b)' + 機能A・ラベル0件（値の名前だけ）,2789.348,18.974,4730.494,29.47,0.8672,60000,5,42,unfold Feature。教師ラベルを使わない
2026-08-29 22:09,F(a)' + 機能A・人手ラベル200件,2781.360,18.634,4735.368,29.40,0.8669,60000,5,42,仕様書が前提にしている件数
2026-08-29 22:11,F(c)' + 機能A・埋め込み列（既定エンコーダ）,2601.138,3.925,4452.341,28.34,0.8824,60000,5,42,"文字TF-IDF+SVD256。C2(2,640) と比較"
2026-08-29 22:13,F(c-e5)' + 機能A・埋め込み列（e5-small）,2613.858,6.669,4466.849,28.47,0.8816,60000,5,42,"既存の埋め込みを API 経由で使う。D1(2,620) と比較"
