画像URL,cassettemain_subimg_URL,支払総額,車両本体価格,年式,走行距離,車検,修復歴,保証,タイトル,色,都道府県,店舗
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6567192867/index.html,"225.9
																									万円","216.3
																								万円","2024
(R06)","1.4
万km",2027(R09)年04月,なし,保証無,シエンタ ハイブリッド 1.5 G R6年登録　ディスプレイオーディオ　禁煙車　バックカメラ　レーダークルーズコントロール　両側電動スライドドア　プッシュスタート　ETC　スマートキー　セーフティセンス　ブラインドスポットモニター,青,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6792132238/index.html,"154.8
																									万円","145.4
																								万円","2023
(R05)","8.6
万km",2026(R08)年07月,なし,保証無,シエンタ ハイブリッド 1.5 G 禁煙車　純正8インチディスプレイオーディオ　バックカメラ　両側電動スライドドア　トヨタセーフティセンス　ブラインドスポットモニター　LEDヘッドライト　ETC　AC100V電源　Bluetooth接続,灰深,新潟県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ新潟店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6792160861/index.html,"155.7
																									万円","145.9
																								万円","2023
(R05)","8
万km",2026(R08)年07月,なし,保証無,シエンタ ハイブリッド 1.5 G 禁煙車　純正8インチディスプレイオーディオ　バックカメラ　両側電動スライドドア　トヨタセーフティセンス　ブラインドスポットモニター　LEDヘッドライト　ETC　AC100V電源　Bluetooth接続,灰深,新潟県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ新潟店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6603615393/index.html,"99.9
																									万円","90.3
																								万円","2018
(H30)","7
万km",2027(R09)年06月,なし,保証付,シエンタ 1.5 G クエロ 禁煙車　7人乗り　純正SDナビ　バックカメラ　両側電動ドア　シートヒーター　ビルトインETC　衝突被害軽減システム　コーナーセンサー　ハーフレザーシート　スマートキー　オートハイビーム　車線逸脱警報,茶,愛知県,ネクステージ ４１号小牧店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6853305937/index.html,"149.8
																									万円","145.2
																								万円","2019
(R01)","2.7
万km",2027(R09)年08月,なし,保証付,シエンタ 1.5 X ウェルキャブ 車いす仕様車 タイプI 助手席側セカンドシート無 ワンオーナー/バックカメラ/ドラレコ前,赤,愛知県,ガリバー Ｒ１豊橋店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6824284552/index.html,"143.3
																									万円","133.9
																								万円","2023
(R05)","9.8
万km",2026(R08)年07月,なし,保証無,シエンタ ハイブリッド 1.5 G 禁煙車　純正ディスプレイオーディオ　バックカメラ　両側電動スライドドア　7人乗り　レーダークルーズコントロール　USBソケット　ETC　スマートキー　プッシュスタート　Bluetooth接続,灰深,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6824449255/index.html,"147.3
																									万円","137.9
																								万円","2023
(R05)","9.3
万km",2026(R08)年07月,なし,保証無,シエンタ ハイブリッド 1.5 G 禁煙車 純正ディスプレイオーディオ バッ,黒,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6788513234/index.html,"148.5
																									万円","139.4
																								万円","2023
(R05)","9.2
万km",2026(R08)年07月,なし,保証無,シエンタ ハイブリッド 1.5 G 禁煙車　純正ナビ　バックカメラ　両側電動スライドドア　衝突軽減ブレーキ　レーダークルーズコントロール　ブラインドスポットモニター　ETC　スマートキー　Bluetooth接続,黒,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6824460456/index.html,"149
																									万円","139.9
																								万円","2023
(R05)","8.2
万km",2026(R08)年07月,なし,保証無,シエンタ ハイブリッド 1.5 G 禁煙車　純正8インチナビ　バックカメラ　両側電動スライドドア　ブラインドスポットモニター　ビルドインETC　アダプティブクルーズコントロール　衝突軽減ブレーキ　レーンキープ　リアトラフィックアラート,緑,栃木県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ佐野厄除大師店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6794535630/index.html,"149.8
																									万円","140.4
																								万円","2023
(R05)","9.1
万km",2026(R08)年07月,なし,保証無,シエンタ ハイブリッド 1.5 G 禁煙車　純正ディスプレイオーディオ　バックカメラ　レーダークルーズ　衝突軽減ブレーキ　100V電源　両側電動スライド　ETC　レーンキープアシスト　クリアランスソナー　LEDヘッドライト　ESC,灰,千葉県,Ｇ－ＡＦＴＥＲ 成田店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6805626567/index.html,"149.8
																									万円","140.4
																								万円","2023
(R05)","9.8
万km",2026(R08)年07月,なし,保証無,シエンタ ハイブリッド 1.5 G 禁煙車　純正8型ナビ　セーフティセンス　アクセサリーコンセント　LEDヘッドライト　バックカメラ　両側電動スライドドア　衝突軽減ブレーキシステム　レーダークルーズコントロール　ビルトインETC,緑,千葉県,Ｇ－ＡＦＴＥＲ 成田店
https://www.carsensor.net/static/cmn/img/loading/animation_S.gif,https://www.carsensor.net/usedcar/detail/AU6831235135/index.html,"149.8
																									万円","140.4
																								万円","2023
(R05)","9
万km",2026(R08)年07月,なし,保証無,シエンタ ハイブリッド 1.5 G 禁煙車　純正ナビ　バックカメラ　両側電動スライドドア　衝突軽減ブレーキ　レーダークルーズコントロール　ETC　ブラインドスポットモニター　LEDヘッドライト　スマートキー　プッシュスタート,灰深,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
