index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,色,都道府県,店舗
1,225.9,14000,2,0,0,1,1,青,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
2,154.8,86000,3,0,0,1,1,灰深,新潟県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ新潟店
3,155.7,80000,3,0,0,1,1,灰深,新潟県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ新潟店
4,99.9,70000,8,0,1,0,1,茶,愛知県,ネクステージ ４１号小牧店
5,149.8,27000,7,0,1,0,1,赤,愛知県,ガリバー Ｒ１豊橋店
6,143.3,98000,3,0,0,1,1,灰深,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
7,147.3,93000,3,0,0,1,1,黒,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
8,148.5,92000,3,0,0,1,1,黒,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
9,149,82000,3,0,0,1,1,緑,栃木県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ佐野厄除大師店
10,149.8,91000,3,0,0,1,1,灰,千葉県,Ｇ－ＡＦＴＥＲ 成田店
11,149.8,98000,3,0,0,1,1,緑,千葉県,Ｇ－ＡＦＴＥＲ 成田店
12,149.8,90000,3,0,0,1,1,灰深,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
13,149.9,89000,3,0,0,1,1,灰,千葉県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ千葉北インター店
14,153.9,82000,3,0,0,1,1,灰深,栃木県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ佐野厄除大師店
15,154.8,86000,3,0,0,1,1,黒黒,千葉県,Ｇ－ＡＦＴＥＲ 成田店
16,154.8,86000,3,0,0,1,1,黒,埼玉県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ越谷レイクタウン店
17,154.8,86000,3,0,0,1,1,緑,千葉県,Ｇ－ＡＦＴＥＲ 成田店
18,159,80000,3,0,0,1,1,緑薄,新潟県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ新潟店
19,159.6,82000,3,0,0,1,1,灰,千葉県,Ｇ－ＡＦＴＥＲ 成田店
20,159.8,85000,3,0,0,1,1,深灰,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
21,159.8,86000,3,0,0,1,1,緑,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
22,159.9,81000,3,0,0,1,1,緑,新潟県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ新潟店
23,162.3,89000,3,0,0,1,1,灰Ｍ,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
24,164.8,78000,3,0,0,1,1,灰黒,栃木県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ佐野厄除大師店
25,169.8,74000,3,0,0,1,1,灰,千葉県,Ｇ－ＡＦＴＥＲ 木更津店
26,174.8,67000,3,0,0,1,1,灰,千葉県,Ｇ－ＡＦＴＥＲ 成田店
27,174.8,65000,3,0,0,1,1,灰Ｍ,栃木県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ佐野厄除大師店
28,99.8,89000,8,0,1,1,1,青Ｍ,福島県,（有）マイカーセンター渡辺　プリウス専門店
29,164.8,81000,3,0,0,1,1,緑,新潟県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ新潟店
30,127.7,55000,7,0,1,0,1,銀Ｍ,愛知県,トヨタカローラ名古屋（株） Ｕ－Ｃａｒ刈谷
31,129.7,53000,8,0,1,1,1,青Ｍ,愛知県,ガリバー 一宮店
32,105.8,44000,9,0,1,0,1,赤Ｍ,宮城県,ガリバー 仙台利府店
33,98.1,32000,9,0,1,0,1,銀Ｍ,大阪府,Ｋ　Ｐｒｏｄｕｃｅ　ｎｉｃｅ　　ケイ　プロデュース　ナイス コンパクト・ハイブリッド専門店
34,164.8,75000,3,0,0,1,1,緑,栃木県,Ｇ－ＡＦＴＥＲ ＭＥＧＡ佐野厄除大師店
35,128.3,28000,8,0,1,0,1,黒Ｍ,大阪府,トヨタモビリティ新大阪（株） Ｕ－Ｃａｒくずは北山店
36,115.6,49000,8,0,1,0,1,茶真珠,福井県,リバティ 鯖江店
37,99.9,64000,10,0,1,0,1,黒,新潟県,ネクステージ 長岡店
38,98.6,59000,10,0,1,0,1,薄銀Ｍ,長崎県,ネクステージ 時津店
