index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,都道府県
1,225.9,14000,2,0,0,1,1,千葉県
2,154.8,86000,3,0,0,1,1,新潟県
3,155.7,80000,3,0,0,1,1,新潟県
4,99.9,70000,8,0,1,0,1,愛知県
5,149.8,27000,7,0,1,0,1,愛知県
6,143.3,98000,3,0,0,1,1,千葉県
7,147.3,93000,3,0,0,1,1,千葉県
8,148.5,92000,3,0,0,1,1,千葉県
9,149,82000,3,0,0,1,1,栃木県
10,149.8,91000,3,0,0,1,1,千葉県
11,149.8,98000,3,0,0,1,1,千葉県
12,149.8,90000,3,0,0,1,1,千葉県
13,149.9,89000,3,0,0,1,1,千葉県
14,153.9,82000,3,0,0,1,1,栃木県
15,154.8,86000,3,0,0,1,1,千葉県
16,154.8,86000,3,0,0,1,1,埼玉県
17,154.8,86000,3,0,0,1,1,千葉県
18,159,80000,3,0,0,1,1,新潟県
19,159.6,82000,3,0,0,1,1,千葉県
20,159.8,85000,3,0,0,1,1,千葉県
21,159.8,86000,3,0,0,1,1,千葉県
22,159.9,81000,3,0,0,1,1,新潟県
23,162.3,89000,3,0,0,1,1,千葉県
24,164.8,78000,3,0,0,1,1,栃木県
25,169.8,74000,3,0,0,1,1,千葉県
26,174.8,67000,3,0,0,1,1,千葉県
27,174.8,65000,3,0,0,1,1,栃木県
28,99.8,89000,8,0,1,1,1,福島県
29,164.8,81000,3,0,0,1,1,新潟県
30,127.7,55000,7,0,1,0,1,愛知県
31,129.7,53000,8,0,1,1,1,愛知県
32,105.8,44000,9,0,1,0,1,宮城県
33,98.1,32000,9,0,1,0,1,大阪府
34,164.8,75000,3,0,0,1,1,栃木県
35,128.3,28000,8,0,1,0,1,大阪府
36,115.6,49000,8,0,1,0,1,福井県
37,99.9,64000,10,0,1,0,1,新潟県
38,98.6,59000,10,0,1,0,1,長崎県
39,164.8,76000,3,0,0,1,1,埼玉県
40,189.8,59000,4,0,0,1,0,岡山県
41,139.2,22000,7,0,1,0,1,宮崎県
42,104.9,54000,10,0,1,0,1,愛知県
